Annotation_type	ID	Description	Function	Function_type
KEGG	K04409	PAK1; p21-activated kinase 1 [EC:2.7.11.1] 	MAPK signaling pathway	Signal transduction
KEGG	K04441	P38; p38 MAP kinase [EC:2.7.11.24] 	MAPK signaling pathway	Signal transduction
KEGG	K04464	MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24] 	MAPK signaling pathway	Signal transduction
KEGG	K04513	"RHOA; Ras homolog gene family, member A "	MAPK signaling pathway	Signal transduction
KEGG	K04536	GNB1; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 	MAPK signaling pathway	Signal transduction
KEGG	K04563	"CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22] "	MAPK signaling pathway	Signal transduction
KEGG	K04627	STE3; pheromone a factor receptor 	MAPK signaling pathway	Signal transduction
KEGG	K06009	YPS1_2; yapsin 1/2 [EC:3.4.23.41] 	MAPK signaling pathway	Signal transduction
KEGG	K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1] 	MAPK signaling pathway	Signal transduction
KEGG	K06630	YWHAE; 14-3-3 protein epsilon 	MAPK signaling pathway	Signal transduction
KEGG	K06648	SWI6; regulatory protein SWI6 	MAPK signaling pathway	Signal transduction
KEGG	K06649	SWI4; regulatory protein SWI4 	MAPK signaling pathway	Signal transduction
KEGG	K06650	CLN2; G1/S-specific cyclin CLN2 	MAPK signaling pathway	Signal transduction
KEGG	K06651	CLB5_6; S-phase entry cyclin 5/6 	MAPK signaling pathway	Signal transduction
KEGG	K06652	FAR1; cyclin-dependent kinase inhibitor FAR1 	MAPK signaling pathway	Signal transduction
KEGG	K06665	"SSN6, CYC8; general transcriptional corepressor CYC8 "	MAPK signaling pathway	Signal transduction
KEGG	K06666	TUP1; general transcriptional corepressor TUP1 	MAPK signaling pathway	Signal transduction
KEGG	K07973	"GNG; guanine nucleotide-binding protein subunit gamma, fungi "	MAPK signaling pathway	Signal transduction
KEGG	K08294	MKK1_2; mitogen-activated protein kinase kinase [EC:2.7.12.2] 	MAPK signaling pathway	Signal transduction
KEGG	K09051	"SKO1, ATF1, PCR1; ATF/CREB family transcription factor "	MAPK signaling pathway	Signal transduction
KEGG	K09265	RLM1; transcription factor RLM1 	MAPK signaling pathway	Signal transduction
KEGG	K09448	TEAD; transcriptional enhancer factor 	MAPK signaling pathway	Signal transduction
KEGG	K09468	MSN2_4; zinc finger protein MSN2/4 	MAPK signaling pathway	Signal transduction
KEGG	K10591	"NEDD4, RSP5; E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26] "	MAPK signaling pathway	Signal transduction
KEGG	K11213	STE2; pheromone alpha factor receptor 	MAPK signaling pathway	Signal transduction
KEGG	K11215	STE12; transcription factor STE12 	MAPK signaling pathway	Signal transduction
KEGG	K11226	STE7; mitogen-activated protein kinase kinase [EC:2.7.12.2] 	MAPK signaling pathway	Signal transduction
KEGG	K11227	PBS2; mitogen-activated protein kinase kinase [EC:2.7.12.2] 	MAPK signaling pathway	Signal transduction
KEGG	K11228	STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25] 	MAPK signaling pathway	Signal transduction
KEGG	K11229	BCK1; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25] 	MAPK signaling pathway	Signal transduction
KEGG	K11230	SSK2; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25] 	MAPK signaling pathway	Signal transduction
KEGG	K11231	"SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3] "	MAPK signaling pathway	Signal transduction
KEGG	K11232	"YPD1; osomolarity two-component system, phosphorelay intermediate protein YPD1 "	MAPK signaling pathway	Signal transduction
KEGG	K11233	"SSK1; osomolarity two-component system, response regulator SSK1 "	MAPK signaling pathway	Signal transduction
KEGG	K11234	MFAL; mating pheromone alpha-factor 	MAPK signaling pathway	Signal transduction
KEGG	K11235	MFA; mating pheromone A-factor 	MAPK signaling pathway	Signal transduction
KEGG	K11236	CDC24; cell division control protein 24 	MAPK signaling pathway	Signal transduction
KEGG	K11237	BEM1; bud emergence protein 1 	MAPK signaling pathway	Signal transduction
KEGG	K11238	BNI1; cytokinesis protein 	MAPK signaling pathway	Signal transduction
KEGG	K11239	STE5; pheromone-response scaffold protein 	MAPK signaling pathway	Signal transduction
KEGG	K11240	MSG5; tyrosine-protein phosphatase MSG5 [EC:3.1.3.48] 	MAPK signaling pathway	Signal transduction
KEGG	K11241	DIG1; down-regulator of invasive growth 1 	MAPK signaling pathway	Signal transduction
KEGG	K11242	DIG2; down-regulator of invasive growth 2 	MAPK signaling pathway	Signal transduction
KEGG	K11243	FUS1; nuclear fusion protein 	MAPK signaling pathway	Signal transduction
KEGG	K11244	WSC; cell wall integrity and stress response component 	MAPK signaling pathway	Signal transduction
KEGG	K11245	"MID2, MTL1; mating pheromone-induced death protein 2 "	MAPK signaling pathway	Signal transduction
KEGG	K11246	SHO1; SHO1 osmosensor 	MAPK signaling pathway	Signal transduction
KEGG	K12412	MCM1; pheromone receptor transcription factor 	MAPK signaling pathway	Signal transduction
KEGG	K12760	CLN1; G1/S-specific cyclin CLN1 	MAPK signaling pathway	Signal transduction
KEGG	K15174	PAF1; RNA polymerase II-associated factor 1 	MAPK signaling pathway	Signal transduction
KEGG	K17741	GRE2; NADPH-dependent methylglyoxal reductase [EC:1.1.1.283] 	MAPK signaling pathway	Signal transduction
KEGG	K17971	BNR1; BNI1-related protein 1 	MAPK signaling pathway	Signal transduction
KEGG	K19704	PTC1; protein phosphatase PTC1 [EC:3.1.3.16] 	MAPK signaling pathway	Signal transduction
KEGG	K19806	PTP2_3; tyrosine-protein phosphatase 2/3 [EC:3.1.3.48] 	MAPK signaling pathway	Signal transduction
KEGG	K19807	SMP1; transcription factor SMP1 	MAPK signaling pathway	Signal transduction
KEGG	K19812	SDP1; dual-specificity protein phosphatase SDP1 [EC:3.1.3.48] 	MAPK signaling pathway	Signal transduction
KEGG	K19815	HOT1; high-osmolarity-induced transcription protein 1 	MAPK signaling pathway	Signal transduction
KEGG	K19816	MSS11; transcription activator MSS11 	MAPK signaling pathway	Signal transduction
KEGG	K19833	CLA4; serine/threonine-protein kinase CLA4 [EC:2.7.11.1] 	MAPK signaling pathway	Signal transduction
KEGG	K19838	SST2; GTPase-activating protein SST2 	MAPK signaling pathway	Signal transduction
KEGG	K19839	RGA1_2; Rho-type GTPase-activating protein 1/2 	MAPK signaling pathway	Signal transduction
KEGG	K19840	BEM3; Rho-type GTPase-activating protein 	MAPK signaling pathway	Signal transduction
KEGG	K19841	STE50; protein STE50 	MAPK signaling pathway	Signal transduction
KEGG	K19842	ROM1_2; RHO1 GDP-GTP exchange protein 1/2 	MAPK signaling pathway	Signal transduction
KEGG	K19843	TUS1; Rho1 guanine nucleotide exchange factor TUS1 	MAPK signaling pathway	Signal transduction
KEGG	K19844	BEM2; GTPase-activating protein BEM2 	MAPK signaling pathway	Signal transduction
KEGG	K19845	SAC7; GTPase-activating protein SAC7 	MAPK signaling pathway	Signal transduction
KEGG	K19846	SPA2; protein SPA2 	MAPK signaling pathway	Signal transduction
KEGG	K19847	"MLP1, KDX1; MPK-like protein 1 "	MAPK signaling pathway	Signal transduction
KEGG	K19848	HKR1; signaling mucin HKR1 	MAPK signaling pathway	Signal transduction
KEGG	K19849	MSB2; signaling mucin MSB2 	MAPK signaling pathway	Signal transduction
KEGG	K19850	OPY2; protein OPY2 	MAPK signaling pathway	Signal transduction
KEGG	K19851	FLO11; flocculation protein FLO11 	MAPK signaling pathway	Signal transduction
KEGG	K19860	GPA1; guanine nucleotide-binding protein alpha-1 subunit 	MAPK signaling pathway	Signal transduction
KEGG	K23469	CLB2; G2/mitotic-specific cyclin 2 	MAPK signaling pathway	Signal transduction
KEGG	K00182	"WNT2; wingless-type MMTV integration site family, member 2 "	mTOR signaling pathway	Signal transduction
KEGG	K00312	"WNT3; wingless-type MMTV integration site family, member 3 "	mTOR signaling pathway	Signal transduction
KEGG	K00408	"WNT4; wingless-type MMTV integration site family, member 4 "	mTOR signaling pathway	Signal transduction
KEGG	K00444	"WNT5; wingless-type MMTV integration site family, member 5 "	mTOR signaling pathway	Signal transduction
KEGG	K00445	"WNT6; wingless-type MMTV integration site family, member 6 "	mTOR signaling pathway	Signal transduction
KEGG	K00572	"WNT7; wingless-type MMTV integration site family, member 7 "	mTOR signaling pathway	Signal transduction
KEGG	K00714	"WNT8; wingless-type MMTV integration site family, member 8 "	mTOR signaling pathway	Signal transduction
KEGG	K00922	"PIK3CA_B_D; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2. "	mTOR signaling pathway	Signal transduction
KEGG	K01064	"WNT9; wingless-type MMTV integration site family, member 9 "	mTOR signaling pathway	Signal transduction
KEGG	K01110	"PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatas "	mTOR signaling pathway	Signal transduction
KEGG	K01357	"WNT10; wingless-type MMTV integration site family, member 10 "	mTOR signaling pathway	Signal transduction
KEGG	K01384	"WNT11; wingless-type MMTV integration site family, member 11 "	mTOR signaling pathway	Signal transduction
KEGG	K01558	"WNT16; wingless-type MMTV integration site family, member 16 "	mTOR signaling pathway	Signal transduction
KEGG	K02144	ATPeV1H; V-type H+-transporting ATPase subunit H 	mTOR signaling pathway	Signal transduction
KEGG	K02145	"ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:7.1.2.2] "	mTOR signaling pathway	Signal transduction
KEGG	K02147	"ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B "	mTOR signaling pathway	Signal transduction
KEGG	K02148	"ATPeV1C, ATP6C; V-type H+-transporting ATPase subunit C "	mTOR signaling pathway	Signal transduction
KEGG	K02149	"ATPeV1D, ATP6M; V-type H+-transporting ATPase subunit D "	mTOR signaling pathway	Signal transduction
KEGG	K02150	"ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit E "	mTOR signaling pathway	Signal transduction
KEGG	K02151	"ATPeV1F, ATP6S14; V-type H+-transporting ATPase subunit F "	mTOR signaling pathway	Signal transduction
KEGG	K02152	"ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G "	mTOR signaling pathway	Signal transduction
KEGG	K02235	FZD2; frizzled 2 	mTOR signaling pathway	Signal transduction
KEGG	K02329	FZD3; frizzled 3 	mTOR signaling pathway	Signal transduction
KEGG	K02353	DVL; segment polarity protein dishevelled 	mTOR signaling pathway	Signal transduction
KEGG	K02354	"FZD4, fz4, CD344; frizzled 4 "	mTOR signaling pathway	Signal transduction
KEGG	K02375	"FZD5_8, fz2; frizzled 5/8 "	mTOR signaling pathway	Signal transduction
KEGG	K02376	FZD6; frizzled 6 	mTOR signaling pathway	Signal transduction
KEGG	K02432	"FZD1_7, fz; frizzled 1/7 "	mTOR signaling pathway	Signal transduction
KEGG	K02649	PIK3R1_2_3; phosphoinositide-3-kinase regulatory subunit alpha/beta/delta 	mTOR signaling pathway	Signal transduction
KEGG	K02677	PRKCA; classical protein kinase C alpha type [EC:2.7.11.13] 	mTOR signaling pathway	Signal transduction
KEGG	K02833	HRAS; GTPase HRas 	mTOR signaling pathway	Signal transduction
KEGG	K02842	"FZD9_10, CD349_50; frizzled 9/10 "	mTOR signaling pathway	Signal transduction
KEGG	K02991	"RP-S6e, RPS6; small subunit ribosomal protein S6e "	mTOR signaling pathway	Signal transduction
KEGG	K03068	LRP5_6; low density lipoprotein receptor-related protein 5/6 	mTOR signaling pathway	Signal transduction
KEGG	K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26] 	mTOR signaling pathway	Signal transduction
KEGG	K03099	SOS; son of sevenless 	mTOR signaling pathway	Signal transduction
KEGG	K03156	"TNF, TNFA; tumor necrosis factor superfamily, member 2 "	mTOR signaling pathway	Signal transduction
KEGG	K03158	"TNFRSF1A, TNFR1, CD120a; tumor necrosis factor receptor superfamily member 1A "	mTOR signaling pathway	Signal transduction
KEGG	K03209	"WNT1; wingless-type MMTV integration site family, member 1 "	mTOR signaling pathway	Signal transduction
KEGG	K03258	EIF4B; translation initiation factor 4B 	mTOR signaling pathway	Signal transduction
KEGG	K03259	EIF4E; translation initiation factor 4E 	mTOR signaling pathway	Signal transduction
KEGG	K03875	"SKP2, FBXL1; F-box and leucine-rich repeat protein 1 (S-phase kinase-associated protein 2) "	mTOR signaling pathway	Signal transduction
KEGG	K04364	GRB2; growth factor receptor-bound protein 2 	mTOR signaling pathway	Signal transduction
KEGG	K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K04368	"MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2] "	mTOR signaling pathway	Signal transduction
KEGG	K04369	"MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2] "	mTOR signaling pathway	Signal transduction
KEGG	K04370	"LAMTOR3, MP1, MAP2K1IP1; ragulator complex protein LAMTOR3 "	mTOR signaling pathway	Signal transduction
KEGG	K04371	"ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24] "	mTOR signaling pathway	Signal transduction
KEGG	K04373	RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K04467	"IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10] "	mTOR signaling pathway	Signal transduction
KEGG	K04513	"RHOA; Ras homolog gene family, member A "	mTOR signaling pathway	Signal transduction
KEGG	K04526	INS; insulin 	mTOR signaling pathway	Signal transduction
KEGG	K04527	"INSR, CD220; insulin receptor [EC:2.7.10.1] "	mTOR signaling pathway	Signal transduction
KEGG	K04688	RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K04690	"FZDN, fz3; frizzled "	mTOR signaling pathway	Signal transduction
KEGG	K05087	"IGF1R, CD221; insulin-like growth factor 1 receptor [EC:2.7.10.1] "	mTOR signaling pathway	Signal transduction
KEGG	K05459	IGF1; insulin-like growth factor 1 	mTOR signaling pathway	Signal transduction
KEGG	K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K06519	"SLC3A2, MDU1, CD98; solute carrier family 3, member 2 "	mTOR signaling pathway	Signal transduction
KEGG	K07198	"PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31] "	mTOR signaling pathway	Signal transduction
KEGG	K07203	"MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR [EC:2.7.11.1] "	mTOR signaling pathway	Signal transduction
KEGG	K07204	RAPTOR; regulatory associated protein of mTOR 	mTOR signaling pathway	Signal transduction
KEGG	K07205	EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1 	mTOR signaling pathway	Signal transduction
KEGG	K07206	TSC1; tuberous sclerosis 1 	mTOR signaling pathway	Signal transduction
KEGG	K07207	TSC2; tuberous sclerosis 2 	mTOR signaling pathway	Signal transduction
KEGG	K07208	RHEB; Ras homolog enriched in brain 	mTOR signaling pathway	Signal transduction
KEGG	K07209	"IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10] "	mTOR signaling pathway	Signal transduction
KEGG	K07298	"STK11, LKB1; serine/threonine-protein kinase 11 [EC:2.7.11.1] "	mTOR signaling pathway	Signal transduction
KEGG	K07827	"KRAS, KRAS2; GTPase KRas "	mTOR signaling pathway	Signal transduction
KEGG	K07828	NRAS; GTPase NRas 	mTOR signaling pathway	Signal transduction
KEGG	K08266	"MLST8, GBL; target of rapamycin complex subunit LST8 "	mTOR signaling pathway	Signal transduction
KEGG	K08267	RICTOR; rapamycin-insensitive companion of mTOR 	mTOR signaling pathway	Signal transduction
KEGG	K08269	"ULK2, ATG1; serine/threonine-protein kinase ULK2 [EC:2.7.11.1] "	mTOR signaling pathway	Signal transduction
KEGG	K08270	"DDIT4, REDD1; DNA-damage-inducible transcript 4 "	mTOR signaling pathway	Signal transduction
KEGG	K08271	"STRADA, LYK5; STE20-related kinase adapter protein alpha "	mTOR signaling pathway	Signal transduction
KEGG	K08272	"CAB39, MO25; calcium binding protein 39 "	mTOR signaling pathway	Signal transduction
KEGG	K09594	"FLCN, BHD; folliculin "	mTOR signaling pathway	Signal transduction
KEGG	K10421	"CLIP1, RSN; CAP-Gly domain-containing linker protein 1 "	mTOR signaling pathway	Signal transduction
KEGG	K11137	"TELO2, TEL2; telomere length regulation protein "	mTOR signaling pathway	Signal transduction
KEGG	K13302	SGK1; serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K13780	"SLC7A5, LAT1; solute carrier family 7 (L-type amino acid transporter), member 5 "	mTOR signaling pathway	Signal transduction
KEGG	K14004	SEC13; protein transport protein SEC13 	mTOR signaling pathway	Signal transduction
KEGG	K14299	SEH1; nucleoporin SEH1 	mTOR signaling pathway	Signal transduction
KEGG	K14995	"SLC38A9; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 9 "	mTOR signaling pathway	Signal transduction
KEGG	K15705	RNF152; E3 ubiquitin-protein ligase RNF152 [EC:2.3.2.27] 	mTOR signaling pathway	Signal transduction
KEGG	K15728	LPIN; phosphatidate phosphatase LPIN [EC:3.1.3.4] 	mTOR signaling pathway	Signal transduction
KEGG	K16172	IRS1; insulin receptor substrate 1 	mTOR signaling pathway	Signal transduction
KEGG	K16184	"AKT1S1, PRAS40; proline-rich AKT1 substrate 1 "	mTOR signaling pathway	Signal transduction
KEGG	K16185	RRAGA_B; Ras-related GTP-binding protein A/B 	mTOR signaling pathway	Signal transduction
KEGG	K16186	RRAGC_D; Ras-related GTP-binding protein C/D 	mTOR signaling pathway	Signal transduction
KEGG	K16344	"LAMTOR5, HBXIP; ragulator complex protein LAMTOR5 "	mTOR signaling pathway	Signal transduction
KEGG	K17532	STRADB; STE20-related kinase adapter protein beta 	mTOR signaling pathway	Signal transduction
KEGG	K19662	PRKCB; classical protein kinase C beta type [EC:2.7.11.13] 	mTOR signaling pathway	Signal transduction
KEGG	K19663	PRKCG; classical protein kinase C gamma type [EC:2.7.11.13] 	mTOR signaling pathway	Signal transduction
KEGG	K20064	GRB10; growth factor receptor-bound protein 10 	mTOR signaling pathway	Signal transduction
KEGG	K20394	SESN2; sestrin 2 	mTOR signaling pathway	Signal transduction
KEGG	K20396	TBC1D7; TBC1 domain family member 7 	mTOR signaling pathway	Signal transduction
KEGG	K20397	LAMTOR1; ragulator complex protein LAMTOR1 	mTOR signaling pathway	Signal transduction
KEGG	K20398	LAMTOR2; ragulator complex protein LAMTOR2 	mTOR signaling pathway	Signal transduction
KEGG	K20399	LAMTOR4; ragulator complex protein LAMTOR4 	mTOR signaling pathway	Signal transduction
KEGG	K20400	FNIP1; folliculin-interacting protein 1 	mTOR signaling pathway	Signal transduction
KEGG	K20401	FNIP2; folliculin-interacting protein 2 	mTOR signaling pathway	Signal transduction
KEGG	K20402	DEPTOR; DEP domain-containing mTOR-interacting protein 	mTOR signaling pathway	Signal transduction
KEGG	K20403	TTI1; TELO2-interacting protein 1 	mTOR signaling pathway	Signal transduction
KEGG	K20404	"DEPDC5, SEA1; SEA/GATOR complex protein SEA1/DEPDC5 "	mTOR signaling pathway	Signal transduction
KEGG	K20405	"NPRL2, NPR2; nitrogen permease regulator 2 "	mTOR signaling pathway	Signal transduction
KEGG	K20406	"NPRL3, NPR3; nitrogen permease regulator 3 "	mTOR signaling pathway	Signal transduction
KEGG	K20407	"MIOS, MIO, SEA4; SEA/GATOR complex protein SEA4/MIOS "	mTOR signaling pathway	Signal transduction
KEGG	K20408	"WDR24, SEA2; SEA/GATOR complex protein SEA2/WDR24 "	mTOR signaling pathway	Signal transduction
KEGG	K20409	"WDR59, SEA3; SEA/GATOR complex protein SEA3/WDR59 "	mTOR signaling pathway	Signal transduction
KEGG	K20410	"MAPKAP1, SIN1, AVO1; target of rapamycin complex 2 subunit MAPKAP1/AVO1 "	mTOR signaling pathway	Signal transduction
KEGG	K20411	"PRR5, PROTOR; proline-rich protein 5 "	mTOR signaling pathway	Signal transduction
KEGG	K21357	ULK1; serine/threonine-protein kinase ULK1 [EC:2.7.11.1] 	mTOR signaling pathway	Signal transduction
KEGG	K23080	CASTOR1; cytosolic arginine sensor for mTORC1 subunit 1 	mTOR signaling pathway	Signal transduction
KEGG	K23081	CASTOR2; cytosolic arginine sensor for mTORC1 subunit 2 	mTOR signaling pathway	Signal transduction
IPR	IPR037525	Velvet domain	Velvet	Signal transduction
IPR	IPR011025	"G protein alpha subunit, helical insertion"	G-proteins and GPCR	Signal transduction
IPR	IPR001770	"G-protein, gamma subunit"	G-proteins and GPCR	Signal transduction
IPR	IPR001632	"G-protein, beta subunit"	G-proteins and GPCR	Signal transduction
IPR	IPR017981	"GPCR, family 2-like, transmembrane domain"	G-proteins and GPCR	Signal transduction
IPR	IPR000832	"GPCR, family 2, secretin-like"	G-proteins and GPCR	Signal transduction
KEGG	K00232	acyl-CoA oxidase	cAMP signaling pathway	Signal transduction
KEGG	K01115	phospholipase D1/2	cAMP signaling pathway	Signal transduction
KEGG	K02183	calmodulin	cAMP signaling pathway	Signal transduction
KEGG	K04345	protein kinase A	cAMP signaling pathway	Signal transduction
KEGG	K04392	Ras-related C3 botulinum toxin substrate 1	cAMP signaling pathway	Signal transduction
KEGG	K04630	guanine nucleotide-binding protein G(i) subunit alpha	cAMP signaling pathway	Signal transduction
KEGG	K05853	P-type Ca2+ transporter type 2A	cAMP signaling pathway	Signal transduction
KEGG	K06269	serine/threonine-protein phosphatase PP1 catalytic subunit	cAMP signaling pathway	Signal transduction
KEGG	K07188	hormone-sensitive lipase	cAMP signaling pathway	Signal transduction
KEGG	K08014	Rap guanine nucleotide exchange factor 3	cAMP signaling pathway	Signal transduction
